name,cmt,add,del,fixes,files
Stephen Yeargin,1,1,1,0,1
Loading Zhang,1,2,2,0,1
Nhat,717,43159,28654,54,3641
Catalin Ursachi,6,1807,136,1,49
Holger Bartnick,2,3,1,0,3
Clarkie,1,13,13,0,1
Nhat,1,362,31,0,12
Boris Tyukin,1,1,1,0,1
Nick Lang,1,153,153,0,2
Patrice Bourgougnon,1,3,0,0,1
Mayya Sharipova,113,18474,5172,3,745
Reese Levine,1,52,0,0,2
tinder-xli,2,20,14,0,3
Scott Newson,1,1,2,0,1
K. Daniel Newton,1,1,1,0,1
Christoph B¨¹scher,10,541,387,0,74
Christoph B¨¹scher,6,22,16,0,4
Takumasa Ochi,3,12,11,0,4
Igor Kupczy¨½ski,1,1,1,0,1
Kanako Nakai,1,3,3,0,1
Philipp Krenn,2,48,21,0,4
Denis Gladkikh,1,3,0,0,1
·ðÍÓ.RML,1,1,1,0,1
ajrpayne,1,2,2,0,1
Andrew Banchich,9,74,74,4,9
Robin Neatherway,8,21,22,0,10
olcbean,28,5478,715,3,197
Avneesh Chadha,1,3,1,0,1
Ioannis Kakavas,101,32594,8131,5,1137
Christoph B¨¹scher,343,20931,10757,20,1870
Alan Woodward,67,11186,2647,16,676
Alex Crome,1,1,1,1,1
sandstrom,1,4,1,0,1
Stuart Cam,2,40,66,0,18
Maxime Gr¨¦au,3,278,4,0,13
Sian Lerk Lau,3,373,24,0,12
Doug Turnbull,2,50,2,0,3
Timoshenko,1,3,0,0,1
hyeonyoung na,1,6,6,0,1
Nathan Gass,1,33,6,0,1
Combalgorythm,1,3,3,0,2
Boudewijn,1,2,2,0,1
akadko,1,1,2,0,1
fbsolo,1,13,12,0,1
Yogesh Gaikwad,89,26697,4441,18,619
Tony Zeng,1,37,0,0,2
deepybee,1,3,3,0,1
David Shimon,1,1,1,0,1
Jin Liang,1,1,1,0,1
David Kemp,1,66,7,0,2
Andrew Kramarev,1,1,1,0,1
Alex Moros Marco,3,3,3,0,3
Devin Young,1,1,1,0,1
Arne Neumann,1,3,0,1,1
Islam Heggo,1,2,2,0,1
Rachel Johnson,1,2,2,0,1
Andrew Anderson,1,1,1,0,1
Ali El broudi,1,2,2,0,1
Kuaaaly,1,1,1,0,1
Paul Schwarz,1,3,3,0,1
Cladis,1,1,1,0,1
Justin Wyer,1,89,9,0,4
Alejandro Carstens Cattori,1,1,1,0,1
Mikal,1,6,1,0,1
Lokesh Mohanty,1,1,1,0,1
jxy,1,14,1,1,2
lzh3636,1,1,1,1,1
FUJI Goro,1,3,3,0,1
Andrew Odendaal,3,11,3,0,4
polyfractal,71,4574,1779,7,376
Tim Roes,1,1,1,0,1
Menno Oudshoorn,2,353,9,0,19
Jonathan Pool,1,1,1,0,1
Craig van Tonder,1,2,2,0,1
Paul Sanwald,2,153,20,1,3
Shane O'Grady,1,7,7,0,1
Joost Rothweiler,1,2,14,0,1
Chun On Lee,1,1,1,0,1
Tom Veasey,12,309,86,0,34
Alan Woodward,118,17541,27772,9,2649
Sue Gallagher,8,206,81,2,11
tnsatish,1,1,1,0,1
joadha,1,1,1,0,1
tomcallahan,14,4831,2483,0,151
Milan Chovatiya,1,70,31,0,3
Petr Nov¨¢k,1,5,0,0,1
Jean-Charles Legras,1,1,1,0,1
Bart van Oort,1,10,15,0,1
Diwas Joshi,2,5,1,0,2
Bolarinwa Saheed Olayemi,2,25,2,0,2
David Leatherman,2,55,0,0,8
rationull,8,1435,806,1,62
rzmf,1,1,1,0,1
Ragnar Nevries,1,1,1,0,1
Johnny Marnell,1,4,4,0,2
Van0SS,3,2402,215,0,46
yangyang.liu,1,1,1,0,1
D Pinto,1,1,1,0,1
Vladimir Dolzhenko,41,12186,4379,5,430
Sachin Frayne,1,1,1,0,1
Chandan83,1,341,8,0,5
Julie Tibshirani,222,27875,14411,20,1965
Paul Sanwald,20,1556,238,5,63
ZarHenry96,1,1,0,0,1
Saren Currie,1,3,3,0,1
Conor Landry,3,360,110,0,25
wmellouli,1,14,3,0,2
Thomas Callahan,1,1,1,1,1
Dave Moore,2,6,0,0,2
Matija Bruncic,2,12,0,0,2
aditya-agrawal,2,76,0,0,6
Karim Frenn,2,2,2,0,2
Alpar Torok,345,20513,140100,43,1719
Mueed Chaudhry,1,5,0,0,1
Ioannis Kakavas,145,8751,2863,13,577
srini-raman,1,2,2,0,1
lukens,1,1,1,0,1
Shashwat Anand,1,2,2,0,2
William Dearden,1,3,0,0,1
Adam Chalkley,1,1,1,0,1
Lee Jones,1,1,1,0,1
Fernando Medina Corey,1,1,1,1,1
Sohaib Iftikhar,19,9516,1439,0,216
lipsill,16,767,456,1,204
Michael Russell,1,1,1,0,1
Dmitri Moore,1,1,1,0,1
Nirmal Chidambaram,1,134,14,0,4
Aditya Dhulipala,1,23,1,1,4
Yuri Tceretian,1,2,2,0,1
Ben Abrams,2,33,6,0,6
Vladimir Dolzhenko,11,35,38,4,16
Jonathan Pool,1,4,0,0,1
Peter Evers,2,3,3,0,2
ritesh-kapoor,1,3,0,0,1
Fredrik Meyer,1,4,4,0,1
Nirmal Chidambaram,2,29,7,1,4
Jake Landis,107,12176,3575,28,667
albendz,2,152,38,0,6
Jimi Ford,1,1,1,1,1
ahmedakef,1,1,1,0,1
aptxx,1,1,1,0,1
Nick Peihl,2,46,30,0,9
itsnotv,1,7,9,1,2
Andrey Ershov,46,11854,3753,7,330
mzbeck,1,34,28,0,1
w-bonelli,1,2,2,0,1
Colm O'Shea,1,1,1,1,1
aaronoah,1,6,0,0,1
Benjamin Trent,363,103171,18818,85,3014
Matthias Sieber,1,1,1,1,1
simonzheng,1,2,1,0,1
Parth Verma,1,18,1,0,2
Suresh N S,1,5,0,0,1
Morten Segelvik,1,1,1,0,1
Ed Savage,16,4386,689,0,138
Ed Savage,4,36,0,0,8
datosh,1,1,1,0,1
Hazem Khaled,1,3,6,0,1
JeffSaxeVA,1,24,2,1,1
JB Nizet,1,1,1,0,1
Tim Ryan,1,3,3,0,1
Sergey,1,1,1,0,1
Ignacio Vera,28,5550,1564,2,200
Gordon Brown,128,17382,7148,9,838
Andrei Stefan,4,3,0,0,3
Mikita Karaliou,1,66,1,0,4
Dominik,1,1,1,1,1
Jilles van Gurp,3,1073,750,0,21
Mark Tozzi,7,1228,133,1,43
Gordon Brown,2,250,3,0,8
tony-dillon,1,14,32,0,3
Nikolay Vasiliev,3,10,11,1,5
S.Y. Wang,1,403,59,0,10
Chris Roberson,3,309,1,0,5
Marios Trivyzas,33,6783,3845,3,257
Joel Green,1,1,1,0,1
Bukhtawar,2,360,34,0,7
Or Bin,1,42,42,0,25
ben5556,1,1,1,0,1
Dan Tennery-Spalding,1,4,4,0,1
Tim Heckel,1,2,2,0,1
Tomas Della Vedova,11,104,111,1,33
horacimacias,1,1,1,0,1
Christophe Bismuth,9,1862,279,1,52
Shivaank121,1,1,1,0,1
Yogesh Gaikwad,1,1,0,0,1
Przemyslaw Gomulka,69,16281,3975,19,526
Serge Populov,1,1,1,0,1
Andriy,1,2,2,0,1
Wilder Pereira,3,5,5,0,3
Kazuhiro Sera,1,153,152,0,101
iverase,20,3097,394,1,367
eray,2,322,120,0,21
amoreauCoveo,1,3,3,0,1
Nathan Delhaye,1,1,1,0,1
Andrey Ershov,22,3828,1054,4,123
fonxian,1,1,1,0,1
Frederik Bosch,1,5,1,0,1
Emily S,1,6,2,0,4
hanbing0715,1,1,2,0,1
Andrey Atapin,1,94,81,0,30
ÍõÕñÜö,2,4,2,0,2
Senthil,1,2,2,0,1
vboulaye,2,379,140,0,7
Pratik Sanglikar,1,205,200,0,93
Ken MacInnis,1,2,0,0,1
Qian Hong,1,4,4,1,3
"Seong-hyun, Oh",1,15,2,0,3
Alexandru Rusanescu,1,1,0,0,1
Milan Mrdjen,1,1073,1,0,12
Alexander Zhukov,1,2,2,0,1
Jeff Soloshy,1,7,5,1,1
Chris Cho,2,14,8,0,2
Jeff Hajewski,4,330,339,2,40
Jernej Klancic,2,416,155,0,31
Arthur Gavlyukovskiy,1,367,151,0,87
Ekal Golas,1,577,1127,1,2
Takuro Wada,1,1,1,0,1
William Desportes,1,1,1,0,1
John,1,10,2,0,2
Sachin Araballi,1,16,16,0,1
ik,1,174,0,0,2
patrykk21,1,4,0,0,1
Chris Koehnke,1,2,2,0,2
Guido Lena Cota,2,9,9,0,2
Gil Raphaelli,3,7,3,1,3
Jacques B,1,1,1,0,1
Igor Suhorukov,1,6,36,0,5
Christian Schneider,1,291,131,0,7
docteurjay,1,0,2,0,1
Max Penet,1,3,0,0,1
Evgenia Badyanova,3,121,56,0,10
Itamar Benjamin,1,209,30,0,12
Peter Lyons,1,1,1,0,1
Alexis Wilke,1,1,1,0,1
Abdullah DURSUN,1,1,1,0,1
Josh Soref,11,192,192,0,119
David Findley,1,162,1,0,6
Adam Thomson,1,2,2,0,1
Evangelos Chatzikalymnios,1,56,27,0,2
Morris Schreibman,1,21,18,0,1
Jiyu-Zhang-Zendesk,1,1,0,0,1
Georgi Ivanov,1,4,4,0,2
Marios Trivyzas,6,34,31,0,6
niloct,2,6,4,1,2
Fabricio Archanjo Fonseca,1,7,1,1,1
Torgeir Thoresen,1,3,3,0,2
Mike Place,4,389,213,0,12
Heather McCartney,1,2,2,0,1
Henning Andersen,109,8275,2663,24,407
Yulong,1,72,4,0,3
Yuri Astrakhan,4,1702,246,0,38
Ricardo Ferreira,1,15,42,0,3
Vishnu Gt,1,37,4,1,5
Sivagurunathan Velayutham,4,1022,49,0,17
Henning Andersen,5,31,94,0,7
Pascal Christoph,1,6,6,0,3
Desmond Vehar,1,87,3,0,7
austintp,1,5,5,0,1
Darren Meiss,17,250,245,0,17
Magnus Reftel,1,4,1,0,1
Milly,1,2,2,0,2
taku333,1,1,1,0,1
Hannes Van De Vreken,1,1,1,0,1
Mark Vieira,219,9573,8947,10,999
Guilherme Ferreira,4,5,5,0,5
Tamara Braun,3,172,33,0,8
Mirko Jotic,1,782,0,0,1
weizijun,8,244,42,1,14
Neeraj Jain,1,1,1,0,1
Mehran Koushkebaghi,1,61,65,0,7
Shajahan Palayil,1,6,6,0,2
Pedro Silva,1,12,9,0,12
Richard Garside,1,1,1,0,1
Prabhakar S,1,148,2,0,2
Samuel Cifuentes Garc¨ªa,1,3,1,0,1
Hiroki Nishino,1,2,2,0,1
Ian,1,1,1,0,1
Akshesh Doshi,2,197,77,0,4
Ankit Jain,1,40,2,0,2
MK Swanson,1,3,4,0,1
David Emanuel Buchmann,1,6,6,0,7
lzh3636,1,1,1,0,1
ajoshbiol,1,66,7,0,2
Varun Sharma,1,1,1,0,1
Alex Doerr,1,2,0,0,1
Mark Vovchuk,1,1,1,0,1
krisds,2,4,8,0,2
avshiav,1,1,1,0,1
James Rodewig,442,34972,16730,8,2352
RomainGeffraye,2,2,2,0,2
aladdam,1,3,2,0,1
S¨¦bastien Loix,1,1,1,0,1
alex101101,1,143,2,0,5
Diego Cardozo Sandrim,1,7,4,0,1
Bogdan Pintea,7,848,82,4,17
Oghenovo Usiwoma,1,37,4,0,3
Omkar Deshpande,1,2,2,0,1
Ricky(µÀÀë),1,2,10,0,1
roy,1,35,1,1,2
Ahmad Bamieh,1,7,0,0,1
Iana Bondarska,1,26,4,0,3
Bob Blank,1,2,2,0,1
Arlind,1,1,1,0,1
Joe Zack,1,1,0,1,1
Melori Arellano,1,14,7,0,1
Hicham Mallah,3,199,110,1,13
Jash Gala,1,1,1,0,1
Dan Hermann,30,3073,668,0,127
Michael Morello,1,78,5,0,3
Sandmannn,4,546,240,0,60
Issam EL-ATIF,3,10,48,0,8
Guillaume Darmont,1,4,2,1,2
Nikita Glashenko,7,1203,390,2,47
William Brafford,32,4707,2164,4,222
Alpar Torok,1,118,71,0,14
Flavio Pompermaier,2,2,2,0,2
Daniel Schneiter,1,1,1,0,1
Christian Mesh,1,93,0,0,4
Kamyar Ghajar,1,1,1,0,1
MK Swanson,2,20,16,0,2
Mengwei Ding,1,2,1,0,1
mushao999,1,1,1,0,1
swstepp,1,1,1,0,1
emasab,4,785,100,2,33
bellengao,17,463,86,1,40
Travis Steel,1,1,1,0,1
G¨¹rkan Kaymak,1,43,4,0,2
Vigya Sharma,1,112,12,0,4
kevin fuksman,1,9,4,1,2
Ojas gulati,2,275,159,0,19
Alex Pang,2,2,2,0,2
henryptung,1,77,48,0,22
Vigya Sharma,1,102,5,1,2
Jason Matthews,1,1,1,0,1
Shubham Vipul Majmudar,1,1,1,0,1
Sam Mingo,1,3,3,1,1
Sachin Frayne,3,28,24,0,5
Rafiullah Hamedy,1,199,90,0,3
Mirek Svoboda,1,3,1,0,1
Gabryel Monteiro,1,824,334,0,7
Istv¨¢n Zolt¨¢n Szab¨®,119,9754,3759,1,248
Brandon Morelli,3,3,3,0,3
Christos Soulios,4,1821,1543,0,112
synical,1,0,1,0,1
Stuart Tettemer,26,6526,1593,2,283
Luiz Guilherme Pais dos Santos,1,37,2,1,1
Matthew Adams,1,1,1,0,1
Ernesto Reig,1,1,1,0,1
rbayet,1,2,3,0,1
Ryan Ernst,139,14432,18645,14,3295
David Turner,3,5,3,0,3
paulward24,1,1,1,0,1
Mark Tozzi,17,11131,4311,1,467
Peter Lieverdink,1,1,1,0,1
marcos ramos,1,2,2,0,1
vinoov,1,7,0,0,2
surprisingb,1,2,2,0,1
Tanguy Buchier,1,3,1,0,1
Dan Fey,1,1,1,1,1
david raistrick,1,3,2,0,2
magnusram05,1,1,1,0,1
Lucas Groenendaal,1,1,1,0,1
maarab7,1,1,1,0,1
Jinhu Wu,1,74,15,0,10
Enrico Zimuel,3,109,109,1,109
Jesse Wright,1,1,1,0,1
kkewwei,1,26,2,1,2
Alison Goryachev,1,4,6,0,1
Bas ten Berge,1,0,4,0,1
Emily S,1,0,399,0,6
Chris Dean,2,31,28,1,5
Emmanuel DEMEY,1,13,1,0,1
Rory Hunter,59,16387,11508,4,765
Vega,1,10,10,0,4
LHearen,2,5,3,0,2
Jonathan Hult,1,1,1,0,1
Denis Derezhenets,1,13,1,0,2
dengweisysu,2,6,0,0,2
Nathan Howard,1,8,2,0,1
jbonn360,1,81,31,0,7
Rory Hunter,3,143,135,0,6
dengweisysu,1,20,9,0,1
Anup,1,0,1,0,1
Andr¨¦ Letterer,1,16,3,0,4
Aleh Zasypkin,3,77,84,0,13
"Yunfeng,Wu",1,25,1,0,2
Anton,2,2,2,0,2
lois.×ó,1,1,1,0,1
Suhel Khan,1,1,1,0,1
Abhilash Bolla,1,1,1,1,1
Thibault Richard,1,1,1,0,1
dengziming,1,13,13,0,9
Andrei Dan,45,5154,1498,4,158
James Lamb,1,1,1,0,1
Przemko Robakowski,32,5273,2108,10,197
Christos Soulios,12,2165,651,2,55
Oliver Gupte,2,31,2,1,4
Philip Krauss,2,10,126,0,2
rikardbakkehaug,1,3,3,0,1
Javier Ruiz,1,2,2,0,1
maidoo,1,91,24,0,4
seanmcrw,1,10,10,0,18
Gaurav614,1,113,3,0,3
Andrew Naguib,1,18,3,0,1
Howard,2,173,32,1,13
Robin Clarke,2,6,6,0,2
AndyHunt66,2,0,2,0,2
Francois-Clement Brossard,2,19,2,0,2
Karen Metts,3,4,6,0,3
Florian Kelbert,6,17,17,0,7
Matt Braymer-Hayes,2,2,2,0,2
Ian Danforth,3,3,3,0,3
David Woods,1,5,0,0,1
rsarawgi,1,17,29,0,13
Takuya Kajiwara,1,3,3,0,1
harsha-s,2,15,0,1,2
Pedro Luiz Cabral Salomon Prado,2,2,2,1,2
Alexandre Fonseca,1,1,1,0,1
Brandon DeVault,1,2,2,0,1
Cris da Rocha,1,1,1,0,1
lgypro,2,2,2,0,2
Daniel Andion,1,1,1,0,1
Arvind Ramachandran,1,29,0,0,2
kkewwei,2,271,13,0,6
pulysak,1,1,1,0,1
glerb,2,2,2,0,2
Julian Simioni,1,1,2,0,1
Arne Welzel,1,1,1,0,1
Rafael Acevedo,5,17,16,1,19
Patrick Maynard,1,1,1,0,1
Josemy Duarte,1,240,132,0,12
Orhan Toy,7,23,23,1,12
SylvainJuge,1,2,2,1,2
tjwilson90,1,9,2,0,2
Antoine Garcia,1,1,1,0,1
gpaimla,1,133,1,0,7
Mathew Davis,1,1,1,0,1
jesinity,1,1638,52,0,19
Jared Tan,1,2,2,0,2
Daniel Mitterdorfer,2,5,1,0,2
Kelly Campbell,1,2,2,0,1
j-bean,4,946,94,1,39
Xiang Dai,2,24,24,0,16
pigbrain,1,1,1,1,1
Tugberk Ugurlu,1,1,1,0,1
Eric Miers,1,4,0,0,1
zacharymorn,6,2870,467,0,46
Vishnu Chilamakuru,1,29,1,0,4
Artur Carvalho,1,1,1,0,1
shiwenjie12,1,1,1,0,1
Stuart Cam,1,57,0,0,3
Kevin Woblick,1,6,0,0,1
Aleksandr Maus,24,10920,1099,0,195
riverbuilding,1,3,3,0,1
Jake,1,1,1,0,1
Oleg,1,39,1,0,4
arkel-s,1,3,3,0,1
blueSky1825821,1,1,1,0,1
Sean Story,2,2,2,0,2
Larry Gregory,4,572,201,2,40
junmuz,1,2,2,0,1
Darren Foong,1,92,5,0,2
Mykhailo Havelia,1,1,1,0,1
Oleksandr Stasyk,1,2,0,0,1
Yang Wang,20,1992,1166,1,167
Benedict Jin,2,5,10,0,5
PND,1,1,1,0,1
Ted Timmons,1,2,2,0,1
Maxim,4,908,52,0,26
Jess,1,41,41,0,1
Ross Wolf,11,4601,2500,1,77
Dan Pickett,1,6,6,0,6
Elvis Saravia,1,1,1,0,1
Dominic Page,2,1606,668,0,24
Amir H Movahed,1,71,34,0,6
Alex Perrin,1,1,1,0,1
Bogdan Pintea,8,1179,454,2,82
Sven Schliesing,1,1,1,0,1
Darren LaCasse,1,1,1,0,1
Noor,1,1,1,0,1
Jonathan Budzenski,2,93,93,0,62
Jochem Wichers Hoeth,1,2,2,0,1
Gautam,1,1,1,1,1
Maria Ralli,4,206,92,0,34
Grzegorz Banasiak,1,1,1,1,1
baifan,1,1,1,0,1
feifeiiiiiiiiii,1,18,0,0,2
Edu Gonz¨¢lez de la Herr¨¢n,1,5,0,0,1
Raidok,1,2,0,0,1
OriGlassman,1,2,2,0,1
Dongkuo Ma,1,35,9,0,4
Kaihong.Wang,1,9,2,1,1
JaeGeun,1,3,0,0,1
Josh Devins,1,744,129,0,11
hezhen Zhang,1,2,1,0,1
jureaky,2,50,2,0,2
Nattachai Suteerapongpan,1,1,1,0,1
Jonathan Leitschuh,1,10,0,0,1
Filip M. Nowak,1,1,1,1,1
rhymes,1,1,1,0,1
Muhammad Shaheer Akram,1,1,1,0,1
Yosuke Hirakida,1,2,2,0,1
Adam Canady,1,3,3,0,1
Cau¨º Marcondes,1,5,2,0,2
Anton Dollmaier,1,1,1,0,1
Romain Gonord,1,1,1,0,1
Greg Back,1,2,2,0,1
Dominik Riemer,1,2,2,0,1
Jakob Reiter,1,1,1,0,1
Ryan Earle,1,1,1,0,1
Yash Joshi,1,1,1,0,1
Tianlun Li,1,30,17,0,3
Ralph Ursprung,1,1,1,0,1
Luca Belluccini,1,11,7,0,1
Peter Schretlen,1,8,0,0,2
musteaf,1,536,98,0,14
C.J. Jameson,1,2,2,0,1
Namgyu Kim,1,222,1,0,7
muachilin,2,52,136,0,4
Ahmet Arslan,1,1,1,0,1
Gil Raphaelli,1,2,2,0,1
tninokehoe,1,50,1,0,2
Hakky54,1,122,2,0,3
Th¨¦ophile Helleboid - chtitux,1,1,1,0,1
Vishal Patel,2,51,26,0,2
ScriptShi,1,70,5,0,2
Dan Roscigno,1,2,0,0,1
William Brafford,6,839,855,0,205
ScriptShi,1,1,1,0,1
Jim Crowley,2,43,27,0,6
zhichen,1,749,11,0,30
Ben Skelker,1,1,1,0,1
jmceniery,1,1,1,0,1
Fernando Briano,1,3,0,0,1
David Kilfoyle,1,150,0,0,2
Amit Khandelwal,1,75,3,0,3
Yang Cheng,1,54,1,0,2
RogerTheUnicornHive,1,3,2,0,1
AB Prashanth,1,12,140,0,1
Vanessa Bell,1,1,1,0,1
